id,title,year,categories,abstract,pdf_url,download_status,matched_terms,match_score
1504.05799v1,Stability and surface diffusion at lithium-electrolyte interphases with connections to dendrite suppression,2015,"cond-mat.mtrl-sci, physics.comp-ph","this work presents an ab initio exploration of fundamental mechanisms with
direct relevance to dendrite formation at lithium-electrolyte interfaces.
specifically, we explore surface diffusion barriers...",http://arxiv.org/pdf/1504.05799v1,Downloaded (2372.42 KB),"deposition, battery, electrodeposition, lithium",50
1805.07551v1,Electrochemical solid-state amorphization in the immiscible Cu-Li system: Size matters,2018,cond-mat.mtrl-sci,"as a typical immiscible binary system, copper (cu) and lithium (li) show no
alloying and chemical intermixing under normal circumstances. a notable example
that takes advantages of the immiscibility b...",http://arxiv.org/pdf/1805.07551v1,Downloaded (271.14 KB),"cu, copper, lithium",38
2503.21481v1,Stress-driven whisker formation in lithium metal batteries,2025,physics.chem-ph,"lithium metal batteries are promising for next-generation high-energy-density
batteries, especially when lithium is directly plated on a current collector.
however, lithium whiskers can form in the ea...",http://arxiv.org/pdf/2503.21481v1,Downloaded (2206.57 KB),"cu, lithium, electroplating",38
2208.12902v1,Three-dimensional experimental-scale phase-field modelling of dendrite formation in rechargeable lithium-metal batteries,2022,physics.app-ph,"we perform phase-field simulations of the electrodeposition process that
forms dendrites within metal-anode batteries including anisotropic
representation. we describe the evolution of a phase field, ...",http://arxiv.org/pdf/2208.12902v1,Downloaded (39654.08 KB),"deposition, battery, electrodeposition, lithium",50
1807.04693v1,"Ni-P coatings electroplating - A review, Part I: Pure Ni-P alloy",2018,"physics.app-ph, cond-mat.mtrl-sci","in the electroplating industry ni-p coatings are extensively employed owing
to their excellent properties which enable substrate protection against
corrosion and wear. depending on their composition a...",http://arxiv.org/pdf/1807.04693v1,Downloaded (2678.48 KB),"deposition, electrodeposition, electroplating",38
2102.03962v1,Quantitatively Designing Porous Copper Current Collectors for Lithium Metal Anode,2021,cond-mat.mtrl-sci,"lithium metal has been an attractive candidate as a next generation anode
material. despite its popularity, stability issues of lithium in the liquid
electrolyte and the formation of lithium whiskers ...",http://arxiv.org/pdf/2102.03962v1,Downloaded (4383.84 KB),"deposition, cu, copper, lithium",50
2406.14079v1,Nano-Patterned Pt-Based Metallic Glass Electrocatalysts with In-Situ Copper Oxide Foam for Enhanced Hydrogen Evolution,2024,"cond-mat.mtrl-sci, physics.chem-ph","hydrogen is a promising energy carrier for replacing fossil fuels, and
hydrogen production via hydrogen evolution reaction (her) is an environmentally
friendly option if electrocatalysts with low over...",http://arxiv.org/pdf/2406.14079v1,Downloaded (2395.35 KB),"deposition, cu, copper, electrodeposition",50
1808.02105v1,Lithium Metal Penetration Induced by Electrodeposition through Solid Electrolytes: Example in Single-Crystal Li6La3ZrTaO12 Garnet,2018,cond-mat.mtrl-sci,"solid electrolytes are considered a potentially enabling component in
rechargeable batteries that use lithium metal as the negative electrode, and
thereby can safely access higher energy density than ...",http://arxiv.org/pdf/1808.02105v1,Downloaded (1183.31 KB),"deposition, cu, electrodeposition, lithium",50
2205.11723v1,Galvanic Corrosion and Electric Field in Lithium Anode Passivation Films: Effects on Self-Discharge,2022,"cond-mat.mtrl-sci, physics.chem-ph","battery interfaces help govern rate capability, safety/stability, cycle life,
and self-discharge, but significant gaps remain in our understanding at atomic
length scales that can be exploited to impr...",http://arxiv.org/pdf/2205.11723v1,Downloaded (807.70 KB),"cu, copper, battery, lithium",50
2207.06491v1,Dynamics of the lithium metal electrodeposition: Effects of a gas bubble,2022,"cond-mat.mtrl-sci, physics.chem-ph","rechargeable lithium metal batteries have been widely investigated recently,
driven by the global trend for the electrification of transportation.
understanding the dynamics of lithium metal electrode...",http://arxiv.org/pdf/2207.06491v1,Downloaded (1823.48 KB),"deposition, cu, electrodeposition, lithium",50
2008.00112v1,Kinetics of lithium electrodeposition and stripping,2020,"physics.chem-ph, cond-mat.mtrl-sci","electrodeposition and stripping are fundamental electrochemical processes for
metals and have gained importance in rechargeable li-ion batteries due to
lithium metal electrodes. the electrode kinetics...",http://arxiv.org/pdf/2008.00112v1,Downloaded (1064.35 KB),"deposition, cu, battery, electrodeposition, lithium",62
1308.6455v1,Vacuum nanogap formation in multilayer structures by an adhesion-controlled process,2013,cond-mat.mes-hall,"in this study, we regulate adhesion between thin metal films to produce a
large-area vacuum nanogap for electron tunneling. multilayer structures
comprising thin metal films with adjustable adhesion w...",http://arxiv.org/pdf/1308.6455v1,Downloaded (709.38 KB),"cu, electroplating",25
1901.05033v2,Linear stability analysis of transient electrodeposition in charged porous media: suppression of dendritic growth by surface conduction,2019,physics.chem-ph,"we study the linear stability of transient electrodeposition in a charged
random porous medium, whose pore surface charges can be of any sign, flanked by
a pair of planar metal electrodes. discretizat...",http://arxiv.org/pdf/1901.05033v2,Downloaded (4744.65 KB),"deposition, cu, copper, electrodeposition, electroplating",62
2210.16686v1,"Is Cu$_{3-x}$P a semiconductor, a metal, or a semimetal?",2022,cond-mat.mtrl-sci,"despite the recent surge in interest in cu$_{3-x}$p for catalysis, batteries,
and plasmonics, the electronic nature of cu$_{3-x}$p remains unclear. some
studies have shown evidence of semiconducting b...",http://arxiv.org/pdf/2210.16686v1,Downloaded (17980.74 KB),"deposition, cu, copper",38
2103.03921v1,Thermodynamics of Lithium Stripping and Limits for Fast Discharge in Lithium Metal Batteries,2021,"physics.chem-ph, cond-mat.mtrl-sci, physics.comp-ph","lithium metal batteries are seen as a critical piece towards electrifying
aviation. during charging, plating of lithium metal, a critical failure
mechanism, has been studied and mitigation strategies ...",http://arxiv.org/pdf/2103.03921v1,Downloaded (844.68 KB),"deposition, cu, electrodeposition, lithium",50
2208.04089v1,The mechanism of Li deposition on the Cu substrates in the anode-free Li metal batteries,2022,cond-mat.mtrl-sci,"due to the rapid growth in the demand for high-energy-density li batteries
and insufficient global li reserves, the anode-free li metal batteries are
receiving increasing attention. various strategies...",http://arxiv.org/pdf/2208.04089v1,Downloaded (2119.27 KB),"deposition, cu",25
2302.06462v1,A continuum electro-chemo-mechanical gradient theory coupled with damage: Application to Li-metal filament growth in all-solid-state batteries,2023,"cond-mat.mtrl-sci, physics.chem-ph","we formulate a continuum electro-chemo-mechanical gradient theory which
couples electrochemical reactions with mechanical deformation and damage in
solids. the framework models species transport acros...",http://arxiv.org/pdf/2302.06462v1,Downloaded (4056.53 KB),"deposition, cu, electrodeposition",38
1108.0340v1,Increased Cycling Efficiency and Rate Capability of Copper-coated Silicon Anodes in Lithium-ion Batteries,2011,cond-mat.mtrl-sci,"cycling efficiency and rate capability of porous copper-coated, amorphous
silicon thin-film negative electrodes are compared to equivalent silicon
thin-film electrodes in lithium-ion batteries. the pr...",http://arxiv.org/pdf/1108.0340v1,Downloaded (754.54 KB),"copper, lithium",25
2304.01557v1,Direct in situ determination of the surface area and structure of deposited metallic lithium within lithium metal batteries using ultra small and small angle neutron scattering,2023,cond-mat.mtrl-sci,"despite being the major cause of battery safety issues and detrimental
performance, a comprehensive growth mechanism for metallic lithium deposited at
electrode surfaces in lithium metal batteries rem...",http://arxiv.org/pdf/2304.01557v1,Downloaded (2139.96 KB),"cu, battery, lithium",38
0801.0098v1,An SERS study of the galvanostatic sequence employed for the electrochemical deposition of Copper in the fabrication of Interconnects,2007,cond-mat.mtrl-sci,"this paper reports the first study carried out by surface-enhanced raman
spectroscopy (sers) during the galvanostatic electrodeposition (ecd) of copper
from an acidic sulphate solution, in the presenc...",http://arxiv.org/pdf/0801.0098v1,Downloaded (190.96 KB),"deposition, cu, copper, electrodeposition",50
1008.3542v1,The Atomic-scale Growth of Large-Area Monolayer Graphene on Single-Crystal Copper Substrates,2010,cond-mat.mes-hall,"we study the growth and microscopic structure of large-area graphene
monolayers, grown on copper single crystals by chemical vapor deposition (cvd)
in ultra-high vacuum (uhv). using atomic-resolution ...",http://arxiv.org/pdf/1008.3542v1,Downloaded (2269.55 KB),"deposition, cu, copper",38
1610.05631v1,"Preparation, structure and giant magnetoresistance of electrodeposited Fe Co/Cu multilayers",2016,cond-mat.mtrl-sci,"no systematic studies have been carried out on the giant magnetoresistance
(gmr) of electrodeposited (ed) fe-co/cu multilayers since the elaboration of a
method for the optimization of the cu layer de...",http://arxiv.org/pdf/1610.05631v1,Downloaded (749.74 KB),"deposition, cu",25
1809.03667v1,Al-Cu-Fe quasicrystals as anode of lithium ion battery,2018,cond-mat.mtrl-sci,"in this paper, al-cu-fe quasicrystal alloy was used as anode material of
lithium-ion batteries. the first specific discharge capacity of quasicrystal
was 204mah/g. cyclic voltammetry showed that oxida...",http://arxiv.org/pdf/1809.03667v1,Downloaded (483.83 KB),"cu, battery, lithium",38
1604.04200v1,Stable artificial solid electrolyte interfaces for lithium batteries,2016,cond-mat.mtrl-sci,"a rechargeable lithium metal battery (lmb), which uses metallic lithium at
the anode, is among the most promising technologies for next generation
electrochemical energy storage devices due to its hig...",http://arxiv.org/pdf/1604.04200v1,Downloaded (1044.62 KB),"deposition, cu, battery, electrodeposition, lithium",62
2504.05612v1,High-efficiency broadband active metasurfaces via reversible metal electrodeposition,2025,"physics.optics, cond-mat.mtrl-sci, physics.app-ph","realizing active metasurfaces with substantial tunability is important for
many applications but remains challenging due to difficulties in dynamically
tuning light-matter interactions at subwavelengt...",http://arxiv.org/pdf/2504.05612v1,Downloaded (7592.75 KB),"deposition, cu, copper, electrodeposition",50
1408.4202v1,Over-limiting Current and Control of Dendritic Growth by Surface Conduction in Nanopores,2014,"physics.chem-ph, cond-mat.mes-hall, cond-mat.mtrl-sci, nlin.PS","understanding over-limiting current (faster than diffusion) is a
long-standing challenge in electrochemistry with applications in desalination
and energy storage. known mechanisms involve either chemi...",http://arxiv.org/pdf/1408.4202v1,Downloaded (4114.19 KB),"deposition, cu, copper, electrodeposition, electroplating",62
2304.11499v1,Direct in-situ measurement of electrical properties of solid electrolyte interphase on lithium metal anode,2023,cond-mat.mtrl-sci,"solid electrolyte interphase (sei), a thin layer that dynamically forms
between active electrode and electrolyte during battery operation, critically
governs the performance of rechargeable batteries1...",http://arxiv.org/pdf/2304.11499v1,Downloaded (931.67 KB),"cu, copper, battery, lithium",50
2211.10829v1,Depositing boron on Cu(111): Borophene or boride?,2022,"cond-mat.mtrl-sci, cond-mat.mes-hall, physics.app-ph","large-area single-crystal surface structures were successfully prepared on
cu(111) substrate with boron deposition, which is critical for prospective
applications. however, the proposed borophene stru...",http://arxiv.org/pdf/2211.10829v1,Downloaded (1799.93 KB),"deposition, cu, copper",38
1901.04910v1,Universal Chemomechanical Design Rules for Solid-Ion Conductors to Prevent Dendrite Formation in Lithium Metal Batteries,2019,cond-mat.mtrl-sci,"dendrite formation during electrodeposition while charging lithium metal
batteries compromises their safety. while high shear modulus solid-ion
conductors (sics) have been prioritized to resolve press...",http://arxiv.org/pdf/1901.04910v1,Downloaded (1643.65 KB),"deposition, electrodeposition, lithium",38
1301.4213v2,Surface plasmon resonance of two segmented Au Cu nanowires in polycarbonate template,2013,"cond-mat.mtrl-sci, physics.optics","two segmented gold copper nanowires were grown inside the pores of
polycarbonate track (pct) etched membranes from two separate solutions by
electrodeposition method. optical absorption spectra of two...",http://arxiv.org/pdf/1301.4213v2,Downloaded (316.10 KB),"deposition, cu, copper, electrodeposition",50
1802.00025v1,EPR Imaging of Metallic Lithium,2018,physics.chem-ph,"we present a sensitive characterization method to image the microstructure of
lithium deposits in lithium-ion battery components by conduction electron
paramagnetic resonance imaging (cepri). the vers...",http://arxiv.org/pdf/1802.00025v1,Downloaded (798.66 KB),"cu, battery, lithium",38
1412.7792v1,Cu codoping control over magnetic precipitate formation in ZnCoO nanowires,2014,cond-mat.mtrl-sci,"using electrodeposition, we have grown nanowires of zncoo with cu codoping
concentrations varying from 4-10 at.%, controlled only by the deposition
potential. we demonstrate control over magnetic co o...",http://arxiv.org/pdf/1412.7792v1,Downloaded (392.92 KB),"deposition, cu, electrodeposition",38
1704.05105v1,Structure and Giant Magnetoresistance of Electrodeposited Co/Cu Multilayers Prepared by Two-Pulse (G/P) and Three-Pulse (G/P/G) Plating,2017,cond-mat.mtrl-sci,"the giant magnetoresistance (gmr) was investigated for electrodeposited co/cu
multilayers. in order to better understand the formation of individual layers
and their influence on gmr, multilayers prod...",http://arxiv.org/pdf/1704.05105v1,Downloaded (711.69 KB),"deposition, cu",25
1805.03256v1,Phase-field simulations of lithium dendrite growth with open-source software,2018,"cond-mat.mtrl-sci, physics.chem-ph","dendrite growth is a long-standing challenge that has limited the
applications of rechargeable lithium metal electrodes. here, we developed a
grand potential based nonlinear phase-field model to study...",http://arxiv.org/pdf/1805.03256v1,Downloaded (2945.08 KB),"deposition, electrodeposition, lithium",38
2002.04843v1,Tracking the diffusion-controlled lithiation reaction of LiMn2O4 by in-situ TEM,2020,cond-mat.mtrl-sci,"spinel lithium manganese oxide (lixmn2o4) is used as an active material in
battery cathodes. it is a relatively inexpensive and environmentally friendly
material, but suffers from capacity fade during...",http://arxiv.org/pdf/2002.04843v1,Downloaded (574.05 KB),"nanotwinned, cu, battery, lithium",50
0801.0097v1,"A SERS Investigation of Cyanide Adsorption and Reactivity during the Electrodeposition of Gold, Silver and Copper from Aqueous Cyanocomplexes Solutions",2007,cond-mat.mtrl-sci,"in this paper we report on the reactivity of adsorbed cyanide deriving from
ligand release during metal electrodeposition from cyanocomplex solutions of
au(i), au(iii), ag(i) and cu(i) in h2o and d2o....",http://arxiv.org/pdf/0801.0097v1,Downloaded (779.15 KB),"deposition, cu, copper, electrodeposition",50
1805.04742v1,Influence of temperature on the strain rate sensitivity and deformation mechanisms of nanotwinned Cu,2018,cond-mat.mtrl-sci,"the mechanical behavior of nanotwinned cu was studied through indentation
creep and constant strain rate indentation tests from 25 $^\circ$c to 200
$^\circ$c. the results showed an enhanced strain rat...",http://arxiv.org/pdf/1805.04742v1,Downloaded (566.83 KB),"nanotwinned, cu",25
1801.04850v1,All-solid flexible fiber-shaped lithium ion batteries,2018,"physics.app-ph, physics.chem-ph","we propose fabrication of the fiber-shaped lithium ion batteries assembled by
twisting a cathode filament together with an anode filament. the cathode
filament is fabricated by depositing a lifepo4 (l...",http://arxiv.org/pdf/1801.04850v1,Downloaded (2473.11 KB),"deposition, cu, battery, lithium",50
2008.07710v1,Pressure-tailored lithium deposition and dissolution in lithium metal batteries,2020,"physics.app-ph, cond-mat.mtrl-sci","a porous electrode resulting from unregulated li growth is the major cause of
the low coulombic efficiency and potential safety hazards of rechargeable li
metal batteries. strategies aiming to achieve...",http://arxiv.org/pdf/2008.07710v1,Downloaded (1076.38 KB),"deposition, battery, lithium",38
2211.10361v1,Electroplating based engineering of plasmonic nanorod metamaterials for biosensing applications,2022,"physics.app-ph, physics.optics","sensing lower molecular weight in a diluted solution using a label-free
biosensor is challenging and requires a miniaturized plasmonic structure, e.g.,
a vertical au nanorod (aunr) array based metamat...",http://arxiv.org/pdf/2211.10361v1,Downloaded (1079.67 KB),"deposition, cu, electroplating",38
1712.09140v1,Enhancement of light transmission through randomly located copper nano-islands near the percolation threshold,2017,"cond-mat.mes-hall, cond-mat.dis-nn","we report the absorption/transmission properties of thin copper films
slightly below the percolation limit produced by laser ablation; these samples
show randomly positioned islands. two types of film...",http://arxiv.org/pdf/1712.09140v1,Downloaded (997.40 KB),"cu, copper",25
2411.16741v3,On the Hidden Transient Interphase in Metal Anodes: Dynamic Precipitation Controls Electrochemical Interfaces in Batteries,2024,"cond-mat.mtrl-sci, physics.chem-ph","the solid-electrolyte interphase, sei, formed on a battery electrode has been
a central area of research for decades. this thin, complex layer profoundly
impacts the electrochemical deposition morphol...",http://arxiv.org/pdf/2411.16741v3,Downloaded (1175.54 KB),"deposition, cu, battery, electrodeposition",50
1608.04136v1,Magnetoresistance and surface roughness study of the initial growth of electrodeposited Co/Cu multilayers,2016,cond-mat.mtrl-sci,"the giant magnetoresistance (gmr) effect has been widely investigated on
electrodeposited ferromagnetic/non-magnetic (fm/nm) multilayers generally
containing a large number of bilayers. in most applic...",http://arxiv.org/pdf/1608.04136v1,Downloaded (399.23 KB),"deposition, cu, electrodeposition",38
1405.4559v2,Atomistic Kinetic Monte Carlo Simulations of Polycrystalline Copper Electrodeposition,2014,"physics.chem-ph, cond-mat.mtrl-sci, physics.comp-ph","a high-fidelity kinetic monte carlo (kmc) simulation method (t.
treeratanaphitak, m. pritzker, n. m. abukhdeir, electrochim. acta 121 (2014)
407--414) using the semi-empirical multi-body embedded-atom...",http://arxiv.org/pdf/1405.4559v2,Downloaded (4294.79 KB),"deposition, copper, electrodeposition",38
2301.04018v1,Origin of heterogeneous stripping of lithium in liquid electrolytes,2023,physics.chem-ph,"lithium metal batteries suffer from low cycle life. during discharge, parts
of the lithium are not stripped reversibly and remain isolated from the current
collector. this isolated lithium is trapped ...",http://arxiv.org/pdf/2301.04018v1,Downloaded (4509.36 KB),"cu, lithium",25
1704.03038v1,"Cubine, a superconducting 2-dimensional copper-bismuth nano sheet",2017,cond-mat.mtrl-sci,"we report on the discovery of a 2-dimensional copper-bismuth nano sheet from
\textit{ab initio} calculations, which we call cubine. according to our
predictions, single layers of cubine can be isolate...",http://arxiv.org/pdf/1704.03038v1,Downloaded (5645.79 KB),"cu, copper, lithium",38
2108.11081v1,Selective copper recovery from ammoniacal waste streams using a systematic biosorption process,2021,physics.app-ph,"cu-nh3 bearing effluents arise from electroplating and metal extraction
industries, requiring innovative and sustainable cu recovery technologies to
reduce their adverse environmental impact. co32- an...",http://arxiv.org/pdf/2108.11081v1,Downloaded (763.09 KB),"cu, copper, electroplating",38
2006.03635v1,Underpotential electroless deposition of metals on polyaniline,2020,physics.app-ph,"a novel technique to deposit metals on highly conjugated polyaniline films
has been developed. in general, electrodeposition of metals, having low
reduction potential, from aqueous solution, is diffic...",http://arxiv.org/pdf/2006.03635v1,Downloaded (337.54 KB),"deposition, cu, electrodeposition",38
1207.3479v1,Surface plasmon resonance of Cu nanowires in polycarbonate template,2012,"cond-mat.mes-hall, cond-mat.mtrl-sci","the cu nanowires were electrodeposited in polycarbonate track-etched (pct)
membrane. sem, tem and xps techniques were used to characterize the morphology,
structure and size of nanowires as well as ch...",http://arxiv.org/pdf/1207.3479v1,Downloaded (778.39 KB),"cu, copper",25
2004.12804v1,Novel one-step electrophoretic deposition of membrane-electrode assembly for flexible-batteries application,2020,"physics.app-ph, cond-mat.mtrl-sci","wearable electronic devices and gadgets raise the need for flexible, thin and
lightweight batteries. in this article we present for the first time, a unique,
single-step method for the preparation of ...",http://arxiv.org/pdf/2004.12804v1,Downloaded (1559.44 KB),"deposition, cu, battery, lithium",50
1412.2031v1,"Oxidation of copper during physical sputtering deposition: mechanism, avoidance and utilization",2014,cond-mat.mtrl-sci,"in this paper, oxidation of cu during physical sputtering deposition in a
high purity and low pressure ar atmosphere without introducing o2 gas flow was
studied systemically. it was found that various...",http://arxiv.org/pdf/1412.2031v1,Downloaded (864.36 KB),"deposition, cu, copper",38
2502.08292v3,Navigating chemical design spaces for metal-ion batteries via machine-learning-guided phase-field simulations,2025,"cond-mat.mtrl-sci, physics.comp-ph","metal anodes provide the highest energy density in batteries. however, they
still suffer from electrode/electrolyte interface side reactions and dendrite
growth, especially under fast-charging conditi...",http://arxiv.org/pdf/2502.08292v3,Downloaded (9192.04 KB),"deposition, electrodeposition, lithium",38
